dataset_id,title,description,created_at,updated_at,rows_updated_at,permalink,matched_query_terms,had_sample_fetch,sample_fetch_error,columns_present,has_mealservicetype,has_ruralorurbancode,has_sitetype,already_known_nc_source
24ie-9cft,Summer Meal Programs - All Summer Sites - Contact and Program Participation Information - Program Period 2023,"<b><a href=https://form.jotform.com/212795081587163 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data</a></b>
<p>

<b>About the Dataset</b><br>
This dataset contains <b>contact and program participation information for summer meal sites approved by TDA to operate summer 2023.</b> Changes in participant information can occur through August. Unless otherwise noted, summer meal programs operate mid-May  through August. 
<p>",2023-03-24T16:17:26.000Z,2024-04-04T13:09:37.000Z,,https://data.texas.gov/d/24ie-9cft,"""2023-2024"", ""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites"", ""non-congregate"", ""rural"", MealServiceType",True,,"ceid, siteid, programyear, reporttype, program, mealservicetype, sitetype, mealtypesserved, operationstartdate, operationenddate, breakfasttime, lunchtime, pmsnacktime",True,False,True,True
82b8-iuvu,Summer Meal Programs - Seamless Summer Option (SSO) - Contacts and Program Participation - Program Period 2023,"<b><a href=https://form.jotform.com/212795081587163 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data</a></b><p>


<b>About the Dataset</b><br>
This data set contains <b>contact and program participation information for each site participating in the Seamless Summer Option (SSO) for summer 2023 .</b> Summer meal programs operate mid-May through the end of August. <p>

An overview of <b>all summer meal program data availa",2023-03-27T19:30:45.000Z,2024-04-04T13:11:09.000Z,,https://data.texas.gov/d/82b8-iuvu,"""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites"", ""non-congregate"", ""rural"", MealServiceType",True,,"ceid, siteid, programyear, reporttype, mealservicetype, sitetype, mealtypesserved, breakfasttime, lunchtime",True,False,True,True
8ih4-zp65,Summer Meal Programs - Summer Food Service Program (SFSP) - Contacts and Program Participation - Program Period 2023,"<b><a href=https://form.jotform.com/212795081587163 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data</a></b><p>


<b>About the Dataset</b><br>
This data set contains <b>contact and program participation information for each site participating in the Summer Food Service Program (SFSP) for summer 2023 .</b> Summer meal programs operate mid-May through the end of August. <p>

For an overview of <b>all summer meal program d",2023-03-22T19:19:40.000Z,2024-04-04T13:03:53.000Z,,https://data.texas.gov/d/8ih4-zp65,"""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites"", ""non-congregate"", ""rural"", MealServiceType",True,,"ceid, siteid, programyear, reporttype, mealservicetype, ruralorurbancode, sitetype, mealtypesserved, lunchtime, suppertime, pmsnacktime",True,True,True,True
23sw-i76v,CACFP Centers - Site Map - 2023-2024,"<b><a href=https://form.jotform.com/212794867706167 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program (CACFP) Data</a></b><p>

<b>About the Dataset</b><br>

This dataset contains contact and program participation information for all Texas child and adult care centers approved by the Texas Department of Agriculture to operate as a meal site under the Child and Adult Care Food Program (CACFP) during the 2023-2024 p",2023-09-18T12:40:49.000Z,2025-05-02T14:20:01.000Z,,https://data.texas.gov/d/23sw-i76v,"""2023-2024"", ""All Summer Sites"", ""Contact and Program Participation"", ""Summer Meal Programs"", ""Summer Sites""",False,empty,,False,False,False,False
2a57-dx4w,Child and Adult Care Food Program (CACFP) - Child Centers - Meal Reimbursement - Program Year 2018-2019,"<b><a href=https://form.jotform.com/212794867706167 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program (CACFP) Data</a></b><p>

<b>About the Dataset</b><br>
This data set contains claims information for <b>meal reimbursement for sites participating in CACFP as child centers for the program year 2018-2019. This includes Child Care Centers, At-Risk centers, Head Start sites, Outside School Hours sites, and Emergency",2023-05-05T16:03:14.000Z,2023-05-05T16:19:46.000Z,,https://data.texas.gov/d/2a57-dx4w,"""All Summer Sites"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, program",False,False,False,False
2a8t-gchc,Child and Adult Care Food Programs (CACFP) –Day Care Home – Meal Reimbursement – Program Year 2023 - 2024,"<b><a href=https://form.jotform.com/212794867706167 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program (CACFP) Data</a></b><p>

<b>About the Dataset</b><br>
This data set contains claims information for <b> meal reimbursement for CACFP participating as Day Care Homes for the program year 2023-2024.</b> The CACFP program year begins October 1 and ends September 30. <p>


<b> This dataset only includes claims submit",2023-11-01T13:40:01.000Z,2025-04-02T16:14:46.000Z,,https://data.texas.gov/d/2a8t-gchc,"""2023-2024"", ""All Summer Sites"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, siteid, programyear, program",False,False,False,False
2d9s-zjtt,2016 All Summer Sites Sponsor List,All 2016 Summer Meal Program Sponsor Contacts.,2023-05-19T16:34:56.000Z,2023-05-19T16:43:01.000Z,,https://data.texas.gov/d/2d9s-zjtt,"""All Summer Sites"", ""Contact and Program Participation"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, programyear, program, operationstartdate",False,False,False,False
2n3v-f4jh,School Nutrition Programs - Administrative Review Summary - Program Year 2018 - 2019,"<b>About the Dataset</b><br>
This dataset contains: <b>
A list of School Food Authorities (SFAs) that have recently undergone Administrative Reviews with TDA, including:  </b>
<li>Types of school nutrition program operated </li>
<li>Special provision programs utilized </li>
<li>Whether or not there were Findings </li>
This report can be found on SquareMeals <a href=""https://www.squaremeals.org/Programs/National-School-Lunch-Program/Compliance"">Compliance for NSLP </a> for the current program yea",2024-12-09T18:41:25.000Z,2024-12-09T18:51:24.000Z,,https://data.texas.gov/d/2n3v-f4jh,"""Summer Sites""",True,,,False,False,False,False
2n76-vibq,2019 Approved Summer Meal Program CEs,Count of Summer Meal Program sponsors (Contracting Entities - CEs) approved for 2023 and currently operating. Operation Start Date for SSO sponsors reflect the start of their 2018-2019 school year and not their summer operations. Approved SFSP sponsors will be included in this count when their Operation Start Date arrives.,2023-09-13T13:33:34.000Z,2023-09-13T13:37:55.000Z,,https://data.texas.gov/d/2n76-vibq,"""Summer Meal Programs""",False,"HTTPError: 403 Client Error: Forbidden.
	no row or column access to non-tabular tables",,False,False,False,False
2npc-xpe8,Summer Meal Programs - Seamless Summer Option (SSO) – Meal Reimbursement - Program Year 2024,"<b><a href=https://form.jotform.com/212795081587163 target=""_blank"">Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data</a></b><p>

<b>About the Dataset</b><br>
This dataset contains  <b>CE-level meal reimbursement from approved TDA claims for Seamless Summer Option (SSO) participants in summer 2024.</b> Summer meal programs typically operate mid-May through August unless otherwise noted. Participants have 60 days from the final meal serv",2024-06-03T20:26:36.000Z,2025-02-13T16:48:06.000Z,,https://data.texas.gov/d/2npc-xpe8,"""All Summer Sites"", ""Meal Service Type"", ""Summer Meal Programs"", ""Summer Sites""",True,,"ceid, programyear, reporttype",False,False,False,False
