dataset_id,column_name,sample_value,null_pct,dtype_inferred
8ih4-zp65,odprecid,06083-0077,0.0,str
8ih4-zp65,programyear,2022-2023,0.0,str
8ih4-zp65,reporttype,SFSPCONTACTS,0.0,str
8ih4-zp65,ceid,06083,0.0,str
8ih4-zp65,cename,"""With Helping Hands"" serving nutritious meals",0.0,str
8ih4-zp65,typeofagency,Private Non Profit Organization,0.0,str
8ih4-zp65,typeoforg,Private Nonprofit,0.0,str
8ih4-zp65,esc,4,0.0,str
8ih4-zp65,tdaregion,3,0.0,str
8ih4-zp65,cestatus,Active,0.0,str
8ih4-zp65,ceapplicationcycle,RENEWAL,0.0,str
8ih4-zp65,siteid,0077,0.0,str
8ih4-zp65,sitename,Almeda Park Apartments,0.0,str
8ih4-zp65,covidmealsite,False,0.0,bool
8ih4-zp65,sitestatus,ACTIVE,0.0,str
8ih4-zp65,cecounty,HARRIS,0.0,str
8ih4-zp65,sitecounty,HARRIS,0.0,str
8ih4-zp65,ruralorurbancode,Urban,0.0,str
8ih4-zp65,cestreetaddressline1,12510 Unison Rd.,0.0,str
8ih4-zp65,cestreetaddresscity,HOUSTON,0.0,str
8ih4-zp65,cestreetaddressstate,TX,0.0,str
8ih4-zp65,cestreetaddresszipcode,77044-2324,0.0,str
8ih4-zp65,cemailingaddressline1,12510 Unison Rd.,0.0,str
8ih4-zp65,cemailingaddresscity,HOUSTON,0.0,str
8ih4-zp65,cemailingaddressstate,TX,0.0,str
8ih4-zp65,cemailingaddresszipcode,77044-2324,0.0,str
8ih4-zp65,sitestreetaddressline1,10950 Tanner Park Ct.,0.0,str
8ih4-zp65,sitestreetaddresscity,Houston,0.0,str
8ih4-zp65,sitestreetaddressstate,TX,0.0,str
8ih4-zp65,sitestreetaddresszipcode,77075,0.0,str
8ih4-zp65,sitemailingaddressline1,12510 Unison,0.0,str
8ih4-zp65,sitemailingaddresscity,Houston,0.0,str
8ih4-zp65,sitemailingaddressstate,TX,0.0,str
8ih4-zp65,sitemailingaddresszipcode,77044,0.0,str
8ih4-zp65,sfspcontactsalutation,Mrs.,40.06,str
8ih4-zp65,sfspcontactfirstname,Jamie,0.0,str
8ih4-zp65,sfspcontactlastname,Williams,0.0,str
8ih4-zp65,sfspcontacttitleposition,Executive Director,0.0,str
8ih4-zp65,sfspcontactemail,withhelpinghands@yahoo.com,0.0,str
8ih4-zp65,sfspcontactphone,8325151023,0.0,str
8ih4-zp65,authorizedindiv1salutation,Mrs.,17.06,str
8ih4-zp65,authorizedindiv1firstname,Jamie,0.0,str
8ih4-zp65,authorizedindiv1lastname,Williams,0.0,str
8ih4-zp65,authorizedindiv1titleposition,Executive Director,0.0,str
8ih4-zp65,authorizedindiv1email,withhelpinghands@yahoo.com,0.0,str
8ih4-zp65,authorizedindiv1phone,8325151023,0.0,str
8ih4-zp65,sitesupervisorsalutation,Ms.,47.96,str
8ih4-zp65,sitesupervisorfirstname,Jennifer,0.0,str
8ih4-zp65,sitesupervisorlastname,Borneman,0.0,str
8ih4-zp65,sitesupervisortitleposition,Site Supervisor,0.0,str
8ih4-zp65,sitesupervisoremail,jborneman@prspurpose.org,18.71,str
8ih4-zp65,sitesupervisorphone,8325416317,0.0,str
8ih4-zp65,sitetype,Open,0.0,str
8ih4-zp65,sitestartdate,2023-06-13T00:00:00.000,0.0,str
8ih4-zp65,siteenddate,2023-08-11T00:00:00.000,0.0,str
8ih4-zp65,daysofoperation,M,0.0,str
8ih4-zp65,mealtypesserved,Dinner,0.0,str
8ih4-zp65,suppertime,14:00 - 16:00,96.31,str
8ih4-zp65,suppermealservicemethod,Self-Prep - Receives meals (Central Kitchen),96.31,str
