dataset_id,label,category,column_name,sample_value,null_pct,inferred_dtype
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,odprecid,00298-0112,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,programyear,2022-2023,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,reporttype,AllSummerSitesContacts,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,program,SFSP,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,ceid,00298,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cename,PILOT POINT ISD,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,typeofagency,Educational Institution,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,typeoforg,School Food Authority,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,esc,11,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,tdaregion,2,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cestatus,Active,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,ceapplicationcycle,RENEWAL,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,siteid,0112,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,sitename,St. Thomas Aquinas Catholic Church,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,sitestatus,ACTIVE,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,countydistrictcode,061-903,13.91,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cecounty,DENTON,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,sitecounty,DENTON,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cestreetaddressline1,829 S. Harrison St,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cestreetaddressline2,Child Nutrition,88.75,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cestreetaddresscity,Pilot Point,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cestreetaddressstate,TX,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cestreetaddresszipcode,76258,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cemailingaddressline1,829 S. Harrison St,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cemailingaddressline2,Child Nutrition,88.69,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cemailingaddresscity,Pilot Point,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cemailingaddressstate,TX,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,cemailingaddresszipcode,76258,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,sitestreetaddressline1,400 St. Thomas Aquinas Ave.,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,sitestreetaddresscity,Pilot Point,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,sitestreetaddressstate,TX,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,sitestreetaddresszipcode,76258,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,progradministratorsalutation,Ms.,7.56,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,progradministratorfirstname,Karen,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,progradministratorlastname,Quiroz,0.0,str
24ie-9cft,All Summer Sites - Contact and Program Participation - 2023,summer_contacts,progradministratortitlep,Program Director of Child Nutrition,0.0,str
