source_dataset,source_dataset_id,program_year,program_type,ce_id,ce_name,county,region,claim_date,total_meals,reimbursement_amount,reimbursement_per_meal,data_quality_flags
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00003,FRANKSTON ISD,ANDERSON,2,2019-06-01T00:00:00.000,4013,11567.82,2.8825865935708945,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00006,WESTWOOD ISD,ANDERSON,2,2019-05-01T00:00:00.000,191,553.74,2.8991623036649217,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00006,WESTWOOD ISD,ANDERSON,2,2019-06-01T00:00:00.000,1131,3304.09,2.9213881520778076,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00008,ANDREWS ISD,ANDREWS,1,2019-05-01T00:00:00.000,240,663.6,2.765,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00008,ANDREWS ISD,ANDREWS,1,2019-06-01T00:00:00.000,1628,4633.92,2.846388206388206,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00013,DIBOLL ISD,ANGELINA,3,2019-06-01T00:00:00.000,6545,18155.05,2.7738808250572955,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00013,DIBOLL ISD,ANGELINA,3,2019-07-01T00:00:00.000,4318,12805.5,2.96560907827698,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00013,DIBOLL ISD,ANGELINA,3,2019-08-01T00:00:00.000,260,702.0,2.7,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00016,ARANSAS COUNTY ISD,ARANSAS,5,2019-06-01T00:00:00.000,2391,6931.74,2.8990966122961104,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00016,ARANSAS COUNTY ISD,ARANSAS,5,2019-07-01T00:00:00.000,1317,3728.1,2.830751708428246,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00016,ARANSAS COUNTY ISD,ARANSAS,5,2019-08-01T00:00:00.000,138,385.5,2.7934782608695654,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00023,LYTLE ISD,ATASCOSA,4,2019-05-01T00:00:00.000,177,583.78,3.2981920903954802,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00023,LYTLE ISD,ATASCOSA,4,2019-06-01T00:00:00.000,2482,7102.73,2.8616962127316676,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00027,SEALY ISD,AUSTIN,3,2019-06-01T00:00:00.000,1916,5267.74,2.749342379958246,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00028,BRAZOS ISD,AUSTIN,3,2019-06-01T00:00:00.000,3422,9641.83,2.81760081823495,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00028,BRAZOS ISD,AUSTIN,3,2019-07-01T00:00:00.000,372,1060.2,2.85,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00031,BANDERA ISD,BANDERA,4,2019-06-01T00:00:00.000,2656,7612.59,2.8661859939759036,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00031,BANDERA ISD,BANDERA,4,2019-07-01T00:00:00.000,3639,10777.4,2.961637812585875,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00032,BASTROP ISD,BASTROP,4,2019-06-01T00:00:00.000,24253,70533.92,2.908255473549664,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00032,BASTROP ISD,BASTROP,4,2019-07-01T00:00:00.000,7699,22591.5,2.9343421223535526,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00036,SEYMOUR ISD,BAYLOR,2,2019-05-01T00:00:00.000,149,443.86,2.978926174496644,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00036,SEYMOUR ISD,BAYLOR,2,2019-06-01T00:00:00.000,371,1091.44,2.9418867924528302,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00038,BEEVILLE ISD,BEE,5,2019-05-01T00:00:00.000,1243,3673.77,2.955567176186645,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00038,BEEVILLE ISD,BEE,5,2019-06-01T00:00:00.000,6675,19262.0,2.885692883895131,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00039,PAWNEE ISD,BEE,5,2019-05-01T00:00:00.000,124,360.36,2.9061290322580646,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00039,PAWNEE ISD,BEE,5,2019-06-01T00:00:00.000,533,1523.12,2.857636022514071,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00040,PETTUS ISD,BEE,5,2019-05-01T00:00:00.000,172,488.08,2.837674418604651,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00040,PETTUS ISD,BEE,5,2019-06-01T00:00:00.000,943,2730.52,2.8955673382820786,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00041,SKIDMORE-TYNAN ISD,BEE,5,2019-06-01T00:00:00.000,559,1895.01,3.39,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00042,"PRIORITY SYSTEMS, INC.",BELL,2,2019-06-01T00:00:00.000,1393,3933.52,2.823776022972003,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00044,BARTLETT ISD,BELL,2,2019-06-01T00:00:00.000,1383,3844.62,2.7799132321041213,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00044,BARTLETT ISD,BELL,2,2019-07-01T00:00:00.000,140,430.2,3.072857142857143,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00051,TROY ISD,BELL,2,2019-06-01T00:00:00.000,168,359.52,2.1399999999999997,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00059,ACADEMY OF AMERICA DBA BEXAR COUNTY ACADEMY,BEXAR,4,2019-06-01T00:00:00.000,998,2794.47,2.800070140280561,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00059,ACADEMY OF AMERICA DBA BEXAR COUNTY ACADEMY,BEXAR,4,2019-07-01T00:00:00.000,265,823.5,3.107547169811321,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00067,JUBILEE ACADEMIES,BEXAR,4,2019-06-01T00:00:00.000,16078,43344.9,2.695913670854584,ok
