source_dataset_id,source_label,ce_id,site_id,program_year,meal_service_type_public,rural_urban_status,sfsp_site_type_public,meal_types_served,breakfast_time,lunch_time,supper_time,am_snack_time,pm_snack_time,breakfast_meal_service_method,lunch_meal_service_method,supper_meal_service_method,am_snack_meal_service_method,pm_snack_meal_service_method,non_congregate_status_verified,non_congregate_source,rural_urban_source
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00011,0001,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:30 - 8:30,11:15 - 12:15,,,,Self-Prep - Prepares on site,Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00011,0044,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:30 - 8:00,11:15 - 11:45,,,,Self-Prep - Receives meals (Central Kitchen),Self-Prep - Receives meals (Central Kitchen),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00011,0122,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:45 - 8:45,10:30 - 11:30,,,,Self-Prep - Prepares on site,Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00011,0127,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:45 - 8:45,10:50 - 12:00,,,,Self-Prep - Prepares on site,Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00011,0129,2023,Congregate,Rural,Open,"Breakfast, Lunch",8:00 - 9:00,11:00 - 12:30,,,,Self-Prep - Receives meals (Central Kitchen),Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00011,0130,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:45 - 8:45,10:30 - 11:30,,,,Self-Prep - Prepares on site,Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00011,1206,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:30 - 8:30,12:15 - 12:45,,,,Self-Prep - Receives meals (Central Kitchen),Self-Prep - Receives meals (Central Kitchen),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00011,1207,2023,Congregate,Rural,Open,"Breakfast, Lunch",8:30 - 9:30,11:30 - 12:30,,,,Self-Prep - Receives meals (Central Kitchen),Self-Prep - Receives meals (Central Kitchen),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00021,0104,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:30 - 8:30,11:30 - 12:30,,,,Self-Prep - Prepares on site,Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00024,0001,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:30 - 8:30,11:00 - 12:00,,,,Self-Prep - Prepares on site,Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00024,0041,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:30 - 8:30,11:00 - 12:00,,,,Self-Prep - Prepares on site,Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00024,0103,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:30 - 8:30,11:00 - 12:00,,,,Self-Prep - Prepares on site,Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00024,0105,2023,Congregate,Rural,Open,"Breakfast, Lunch",7:30 - 8:30,11:00 - 12:00,,,,Self-Prep - Prepares on site,Self-Prep - Prepares on site,,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00024,1202,2023,Congregate,Rural,Open,"Breakfast, Lunch, Dinner",8:30 - 9:00,11:45 - 12:15,16:45 - 20:00,,,Self-Prep - Receives meals (Central Kitchen),Self-Prep - Receives meals (Central Kitchen),Self-Prep - Receives meals (Central Kitchen),,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),00024,1206,2023,Congregate,Rural,Open,Dinner,,,16:30 - 17:00,,,,,Self-Prep - Receives meals (Central Kitchen),,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
