cesiteid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,cecounty,sitecounty,claimdate,breakfastdays,breakfast,secondbreakfast,breakfasttotal,amsnackdays,amsnack,secondamsnack,amsnacktotal,lunchdays,lunch,secondlunch,lunchtotal,pmsnackdays,pmsnack,secondpmsnack,pmsnacktotal,supperdays,supper,secondsupper,suppertotal,totalsnacks,totalmeals_snacks
00011-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0001,LUFKIN H S,ANGELINA,ANGELINA,2018-06-01T00:00:00.000,19,1663,0,1663,0,0,0,0,19,6358,0,6358,0,0,0,0,0,0,0,0,0,8021
00011-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0001,LUFKIN H S,ANGELINA,ANGELINA,2018-07-01T00:00:00.000,6,198,0,198,0,0,0,0,6,671,0,671,0,0,0,0,0,0,0,0,0,869
00011-0044,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0044,LUFKIN MIDDLE,ANGELINA,ANGELINA,2018-06-01T00:00:00.000,16,0,0,0,0,0,0,0,16,1861,0,1861,0,0,0,0,0,0,0,0,0,1861
00011-0044,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0044,LUFKIN MIDDLE,ANGELINA,ANGELINA,2018-07-01T00:00:00.000,6,515,0,515,0,0,0,0,6,380,0,380,0,0,0,0,0,0,0,0,0,895
00011-0127,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0127,HERTY EL,ANGELINA,ANGELINA,2018-06-01T00:00:00.000,20,2217,0,2217,0,0,0,0,20,2250,0,2250,0,0,0,0,0,0,0,0,0,4467
00011-0127,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0127,HERTY EL,ANGELINA,ANGELINA,2018-07-01T00:00:00.000,2,174,0,174,0,0,0,0,2,140,0,140,0,0,0,0,0,0,0,0,0,314
00011-0129,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0129,SLACK EL,ANGELINA,ANGELINA,2018-06-01T00:00:00.000,14,2805,0,2805,0,0,0,0,14,4002,0,4002,0,0,0,0,0,0,0,0,0,6807
00011-0129,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,0129,SLACK EL,ANGELINA,ANGELINA,2018-07-01T00:00:00.000,6,1016,0,1016,0,0,0,0,6,1533,0,1533,0,0,0,0,0,0,0,0,0,2549
00011-1204,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1204,ST CYPRIANS LION CAMP,ANGELINA,ANGELINA,2018-06-01T00:00:00.000,20,1094,0,1094,0,0,0,0,20,1232,0,1232,0,0,0,0,0,0,0,0,0,2326
00011-1204,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1204,ST CYPRIANS LION CAMP,ANGELINA,ANGELINA,2018-07-01T00:00:00.000,9,364,0,364,0,0,0,0,9,493,0,493,0,0,0,0,0,0,0,0,0,857
