programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfasttotal,breakfastadp,amsnackdays,amsnacktotal,amsnackadp,lunchdays,lunchtotal,lunchadp,pmsnackdays,pmsnacktotal,pmsnackadp,supperdays,suppertotal,supperadp
2018-2019,SUMMERSSOCLAIMS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,0001,FRANKSTON H S,001-904,ANDERSON,ANDERSON,2019-06-01T00:00:00.000,20,1629,81.45,0,0,0,20,1556,77.8,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,0109,First Baptist Church Frankston,001-904,ANDERSON,ANDERSON,2019-06-01T00:00:00.000,0,0,0,0,0,0,5,828,165.6,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,0002,WESTWOOD H S,001-908,ANDERSON,ANDERSON,2019-05-01T00:00:00.000,3,33,11,0,0,0,3,74,24.67,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,0002,WESTWOOD H S,001-908,ANDERSON,ANDERSON,2019-06-01T00:00:00.000,18,266,14.78,0,0,0,18,537,29.83,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,0102,WESTWOOD PRI,001-908,ANDERSON,ANDERSON,2019-05-01T00:00:00.000,3,42,14,0,0,0,3,42,14,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,0102,WESTWOOD PRI,001-908,ANDERSON,ANDERSON,2019-06-01T00:00:00.000,12,158,13.17,0,0,0,12,170,14.17,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00008,ANDREWS ISD,Educational Institution,Public,18,1,0101,DEVONIAN ELEM,002-901,ANDREWS,ANDREWS,2019-05-01T00:00:00.000,3,120,40,0,0,0,3,120,40,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00008,ANDREWS ISD,Educational Institution,Public,18,1,0101,DEVONIAN ELEM,002-901,ANDREWS,ANDREWS,2019-06-01T00:00:00.000,18,708,39.33,0,0,0,18,920,51.11,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00013,DIBOLL ISD,Educational Institution,Public,7,3,0101,TEMPLE EL,003-905,ANGELINA,ANGELINA,2019-06-01T00:00:00.000,20,3226,161.3,0,0,0,20,3319,165.95,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00013,DIBOLL ISD,Educational Institution,Public,7,3,0101,TEMPLE EL,003-905,ANGELINA,ANGELINA,2019-07-01T00:00:00.000,21,1775,84.52,0,0,0,21,2543,121.1,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00013,DIBOLL ISD,Educational Institution,Public,7,3,0101,TEMPLE EL,003-905,ANGELINA,ANGELINA,2019-08-01T00:00:00.000,2,160,80,0,0,0,2,100,50,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00016,ARANSAS COUNTY ISD,Educational Institution,Public,2,5,0041,ROCKPORT-FULTON MIDDLE SCHOOL,004-901,ARANSAS,ARANSAS,2019-06-01T00:00:00.000,15,939,62.6,0,0,0,15,1452,96.8,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00016,ARANSAS COUNTY ISD,Educational Institution,Public,2,5,0103,LIVEOAK EL,004-901,ARANSAS,ARANSAS,2019-07-01T00:00:00.000,7,678,96.86,0,0,0,7,639,91.29,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00016,ARANSAS COUNTY ISD,Educational Institution,Public,2,5,0103,LIVEOAK EL,004-901,ARANSAS,ARANSAS,2019-08-01T00:00:00.000,1,75,75,0,0,0,1,63,63,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00023,LYTLE ISD,Educational Institution,Public,20,4,0041,LYTLE JUNIOR HIGH SCHOOL,007-904,ATASCOSA,ATASCOSA,2019-05-01T00:00:00.000,4,13,3.25,0,0,0,4,164,41,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00023,LYTLE ISD,Educational Institution,Public,20,4,0041,LYTLE JUNIOR HIGH SCHOOL,007-904,ATASCOSA,ATASCOSA,2019-06-01T00:00:00.000,18,1049,58.28,0,0,0,18,1433,79.61,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00027,SEALY ISD,Educational Institution,Public,6,3,0001,SEALY H S,008-902,AUSTIN,AUSTIN,2019-06-01T00:00:00.000,16,982,61.38,0,0,0,16,934,58.38,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00028,BRAZOS ISD,Educational Institution,Public,6,3,0001,BRAZOS H S,008-903,AUSTIN,AUSTIN,2019-06-01T00:00:00.000,16,584,36.5,0,0,0,16,873,54.56,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00028,BRAZOS ISD,Educational Institution,Public,6,3,0001,BRAZOS H S,008-903,AUSTIN,AUSTIN,2019-07-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00028,BRAZOS ISD,Educational Institution,Public,6,3,0103,PRAIRIE HARBOR ALTERNATIVE SCHOOL,008-903,AUSTIN,AUSTIN,2019-06-01T00:00:00.000,16,983,61.44,0,0,0,16,982,61.38,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00028,BRAZOS ISD,Educational Institution,Public,6,3,0103,PRAIRIE HARBOR ALTERNATIVE SCHOOL,008-903,AUSTIN,AUSTIN,2019-07-01T00:00:00.000,3,186,62,0,0,0,3,186,62,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00031,BANDERA ISD,Educational Institution,Public,20,4,0001,BANDERA H S,010-902,BANDERA,BANDERA,2019-06-01T00:00:00.000,11,82,7.45,0,0,0,9,78,8.67,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00031,BANDERA ISD,Educational Institution,Public,20,4,0101,ALKEK EL,010-902,BANDERA,BANDERA,2019-06-01T00:00:00.000,12,935,77.92,0,0,0,12,1360,113.33,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00031,BANDERA ISD,Educational Institution,Public,20,4,0101,ALKEK EL,010-902,BANDERA,BANDERA,2019-07-01T00:00:00.000,18,1507,83.72,0,0,0,18,2132,118.44,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00031,BANDERA ISD,Educational Institution,Public,20,4,0102,HILL COUNTRY EL,010-902,BANDERA,BANDERA,2019-06-01T00:00:00.000,10,96,9.6,0,0,0,10,105,10.5,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00032,BASTROP ISD,Educational Institution,Public,13,4,0001,BASTROP H S,011-901,BASTROP,BASTROP,2019-06-01T00:00:00.000,12,1796,149.67,0,0,0,12,406,33.83,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00032,BASTROP ISD,Educational Institution,Public,13,4,0002,CEDAR CREEK HIGH SCHOOL,011-901,BASTROP,BASTROP,2019-06-01T00:00:00.000,12,269,22.42,0,0,0,12,687,57.25,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00032,BASTROP ISD,Educational Institution,Public,13,4,0041,BASTROP MIDDLE,011-901,BASTROP,BASTROP,2019-06-01T00:00:00.000,12,644,53.67,0,0,0,12,1923,160.25,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00032,BASTROP ISD,Educational Institution,Public,13,4,0041,BASTROP MIDDLE,011-901,BASTROP,BASTROP,2019-07-01T00:00:00.000,7,84,12,0,0,0,7,84,12,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00032,BASTROP ISD,Educational Institution,Public,13,4,0101,EMILE ELEMENTARY,011-901,BASTROP,BASTROP,2019-06-01T00:00:00.000,20,2648,132.4,0,0,0,20,3973,198.65,0,0,0,0,0,0
