programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,001-904,ANDERSON,2,2019-06-01T00:00:00.000,1629,0,2384,0,0,3486.0600,0,8081.7600,0,0,11567.8200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,001-908,ANDERSON,2,2019-05-01T00:00:00.000,75,0,116,0,0,160.5000,0,393.2400,0,0,553.7400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,001-908,ANDERSON,2,2019-06-01T00:00:00.000,424,0,707,0,0,907.3600,0,2396.7300,0,0,3304.0900
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00008,ANDREWS ISD,Educational Institution,Public,18,1,002-901,ANDREWS,1,2019-05-01T00:00:00.000,120,0,120,0,0,256.8000,0,406.8000,0,0,663.6000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00008,ANDREWS ISD,Educational Institution,Public,18,1,002-901,ANDREWS,1,2019-06-01T00:00:00.000,708,0,920,0,0,1515.1200,0,3118.8000,0,0,4633.9200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,1,2019-06-01T00:00:00.000,3226,0,3319,0,0,6903.6400,0,11251.4100,0,0,18155.0500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,1,2019-07-01T00:00:00.000,1775,0,2543,0,0,3905.0000,0,8900.5000,0,0,12805.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,1,2019-08-01T00:00:00.000,160,0,100,0,0,352.0000,0,350.0000,0,0,702.0000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00016,ARANSAS COUNTY ISD,Educational Institution,Public,2,5,004-901,ARANSAS,1,2019-06-01T00:00:00.000,939,0,1452,0,0,2009.4600,0,4922.2800,0,0,6931.7400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00016,ARANSAS COUNTY ISD,Educational Institution,Public,2,5,004-901,ARANSAS,1,2019-07-01T00:00:00.000,678,0,639,0,0,1491.6000,0,2236.5000,0,0,3728.1000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00016,ARANSAS COUNTY ISD,Educational Institution,Public,2,5,004-901,ARANSAS,1,2019-08-01T00:00:00.000,75,0,63,0,0,165.0000,0,220.5000,0,0,385.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00023,LYTLE ISD,Educational Institution,Public,20,4,007-904,ATASCOSA,1,2019-05-01T00:00:00.000,13,0,164,0,0,27.8200,0,555.9600,0,0,583.7800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00023,LYTLE ISD,Educational Institution,Public,20,4,007-904,ATASCOSA,1,2019-06-01T00:00:00.000,1049,0,1433,0,0,2244.8600,0,4857.8700,0,0,7102.7300
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00027,SEALY ISD,Educational Institution,Public,6,3,008-902,AUSTIN,1,2019-06-01T00:00:00.000,982,0,934,0,0,2101.4800,0,3166.2600,0,0,5267.7400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00028,BRAZOS ISD,Educational Institution,Public,6,3,008-903,AUSTIN,2,2019-06-01T00:00:00.000,1567,0,1855,0,0,3353.3800,0,6288.4500,0,0,9641.8300
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00028,BRAZOS ISD,Educational Institution,Public,6,3,008-903,AUSTIN,1,2019-07-01T00:00:00.000,186,0,186,0,0,409.2000,0,651.0000,0,0,1060.2000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00031,BANDERA ISD,Educational Institution,Public,20,4,010-902,BANDERA,3,2019-06-01T00:00:00.000,1113,0,1543,0,0,2381.8200,0,5230.7700,0,0,7612.5900
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00031,BANDERA ISD,Educational Institution,Public,20,4,010-902,BANDERA,1,2019-07-01T00:00:00.000,1507,0,2132,0,0,3315.4000,0,7462.0000,0,0,10777.4000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00032,BASTROP ISD,Educational Institution,Public,13,4,011-901,BASTROP,8,2019-06-01T00:00:00.000,9347,0,14906,0,0,20002.5800,0,50531.3400,0,0,70533.9200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00032,BASTROP ISD,Educational Institution,Public,13,4,011-901,BASTROP,5,2019-07-01T00:00:00.000,3350,0,4349,0,0,7370.0000,0,15221.5000,0,0,22591.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00036,SEYMOUR ISD,Educational Institution,Public,9,2,012-901,BAYLOR,1,2019-05-01T00:00:00.000,49,0,100,0,0,104.8600,0,339.0000,0,0,443.8600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00036,SEYMOUR ISD,Educational Institution,Public,9,2,012-901,BAYLOR,1,2019-06-01T00:00:00.000,133,0,238,0,0,284.6200,0,806.8200,0,0,1091.4400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00038,BEEVILLE ISD,Educational Institution,Public,2,5,013-901,BEE,3,2019-05-01T00:00:00.000,432,0,811,0,0,924.4800,0,2749.2900,0,0,3673.7700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00038,BEEVILLE ISD,Educational Institution,Public,2,5,013-901,BEE,3,2019-06-01T00:00:00.000,2693,0,3982,0,0,5763.0200,0,13498.9800,0,0,19262.0000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00039,PAWNEE ISD,Educational Institution,Public,2,5,013-902,BEE,1,2019-05-01T00:00:00.000,48,0,76,0,0,102.7200,0,257.6400,0,0,360.3600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00039,PAWNEE ISD,Educational Institution,Public,2,5,013-902,BEE,1,2019-06-01T00:00:00.000,227,0,306,0,0,485.7800,0,1037.3400,0,0,1523.1200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00040,PETTUS ISD,Educational Institution,Public,2,5,013-903,BEE,1,2019-05-01T00:00:00.000,76,0,96,0,0,162.6400,0,325.4400,0,0,488.0800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00040,PETTUS ISD,Educational Institution,Public,2,5,013-903,BEE,1,2019-06-01T00:00:00.000,373,0,570,0,0,798.2200,0,1932.3000,0,0,2730.5200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00041,SKIDMORE-TYNAN ISD,Educational Institution,Public,2,5,013-905,BEE,1,2019-06-01T00:00:00.000,0,0,559,0,0,0,0,1895.0100,0,0,1895.0100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00042,"PRIORITY SYSTEMS, INC.",Educational Institution,Charter,12,2,014-803,BELL,2,2019-06-01T00:00:00.000,631,0,762,0,0,1350.3400,0,2583.1800,0,0,3933.5200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00044,BARTLETT ISD,Educational Institution,Public,12,2,014-902,BELL,1,2019-06-01T00:00:00.000,675,0,708,0,0,1444.5000,0,2400.1200,0,0,3844.6200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00044,BARTLETT ISD,Educational Institution,Public,12,2,014-902,BELL,1,2019-07-01T00:00:00.000,46,0,94,0,0,101.2000,0,329.0000,0,0,430.2000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00051,TROY ISD,Educational Institution,Public,12,2,014-910,BELL,1,2019-06-01T00:00:00.000,168,0,0,0,0,359.5200,0,0,0,0,359.5200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00059,ACADEMY OF AMERICA DBA BEXAR COUNTY ACADEMY,Educational Institution,Charter,20,4,015-809,BEXAR,1,2019-06-01T00:00:00.000,471,0,527,0,0,1007.9400,0,1786.5300,0,0,2794.4700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00059,ACADEMY OF AMERICA DBA BEXAR COUNTY ACADEMY,Educational Institution,Charter,20,4,015-809,BEXAR,1,2019-07-01T00:00:00.000,80,0,185,0,0,176.0000,0,647.5000,0,0,823.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00067,JUBILEE ACADEMIES,Educational Institution,Charter,20,4,015-822,BEXAR,6,2019-06-01T00:00:00.000,3920,0,9634,2524,0,8388.8000,0,32659.2600,2296.8400,0,43344.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00067,JUBILEE ACADEMIES,Educational Institution,Charter,20,4,015-822,BEXAR,1,2019-07-01T00:00:00.000,0,0,1865,1991,0,0,0,6527.5000,1871.5400,0,8399.0400
