odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cestatus,ceapplicationcycle,siteid,sitename,sitestatus,siteapplicationcycle,countydistrictcode,cecounty,sitecounty,cestreetaddressline1,cestreetaddresscity,cestreetaddressstate,cestreetaddresszipcode,cemailingaddressline1,cemailingaddresscity,cemailingaddressstate,cemailingaddresszipcode,sitestreetaddressline1,sitestreetaddresscity,sitestreetaddressstate,sitestreetaddresszipcode,superintendentsalutation,superintendentfirstname,superintendentlastname,superintendenttitleposition,superintendentemail,superintendentphone,childnutdirsalutation,childnutdirfirstname,childnutdirlastname,childnutdirtitleposition,childnutdiremail,childnutdirphone,seamlesssummercontactsalutation,seamlesssummercontactfirstname,seamlesssummercontactlastname,seamlesssummercontacttitleposition,seamlesssummercontactemail,seamlesssummercontactphone,sitetype,sitestartdate,siteenddate,daysofoperation,mealservicetype,mealtypesserved,lunchtime,lunchdaysserved,geolocation,:@computed_region_ptpy_sh92,:@computed_region_59h5_km5p,:@computed_region_de3d_j5mj,:@computed_region_ji3u_dqif,:@computed_region_rk7b_wvzt,breakfasttime,breakfastdaysserved,cestreetaddressline2,cemailingaddressline2,siteterminationstatus,siteterminatedasofdate,sitestreetaddressline2,amsnacktime,amsnackdaysserved,suppertime,supperdaysserved,pmsnacktime,pmsnackdaysserved,ceterminationstatus,ceterminatedasofdate
00336-0001,2022-2023,SSOCONTACTS,00336,MILFORD ISD,Educational Institution,Public,10,2,Active,RENEWAL,0001,MILFORD SCHOOL,Active,RENEWAL,070-909,ELLIS,ELLIS,205 THIRD AVE,MILFORD,TX,76670-0545,P O BOX 545,milford,TX,76670-0545,205 THIRD AVE,Milford,TX,76670-0545,Mrs.,Amy,Reyna,SUPERINTENDENT,areyna@milfordisd.org,9724932911,Mrs.,Amy,Reyna,Superintendent,areyna@milfordisd.org,9724932911,Mrs.,Amy,Reyna,Superintendent,areyna@milfordisd.org,9724932911,Open Restricted,2023-06-02T00:00:00.000,2023-07-03T00:00:00.000,"M,T,W,TH",Congregate,Lunch,12:00 PM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.951086026, 32.11942602]}",10,65,16,6,22,,,,,,,,,,,,,,,
01109-0013,2022-2023,SSOCONTACTS,01109,VICTORIA ISD,Educational Institution,Public,3,3,Active,RENEWAL,0013,VICTORIA EAST H S,Active,RENEWAL,235-902,VICTORIA,VICTORIA,102 PROFIT DR,VICTORIA,TX,77901-7346,P O BOX 1759,VICTORIA,TX,77902-1759,4103 Mockingbird,Victoria,TX,77901,Dr.,Quintin,Shepherd,SUPERINTENDENT,quintin.shepherd@visd.net,3615763131,Mrs.,Dana,Bigham,Director of Child Nutrition,dana.bigham@visd.net,3617889235,Mrs.,Dana,Bigham,Director of Child Nutrition Programs,dana.bigham@visd.net,3617889235,Open,2023-06-06T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.969204013, 28.849415006]}",30,253,16,27,18,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00327-0015,2022-2023,SSOCONTACTS,00327,ECTOR COUNTY ISD,Educational Institution,Public,18,1,Active,RENEWAL,0015,Odessa Collegiate Academy Early College HS,Active,RENEWAL,068-901,ECTOR,ECTOR,802 N SAM HOUSTON,ODESSA,TX,79761-3973,P O BOX 3912,ODESSA,TX,79760-3912,4901 E. University Blvd.,Odessa,TX,79762,Mr.,Scott,Muri,SUPERINTENDENT,scott.muri@ectorcountyisd.org,4324567019,Ms.,Jieun,Pando,Director of School Nutrition,jieun.pando@ectorcountyisd.org,4324569749,Ms.,Traci,Avila,School Nutrition Manager,traci.avila@ectorcountyisd.org,4324565037,Open,2023-06-05T00:00:00.000,2023-06-22T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:55 AM - 12:25 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-102.324115039, 31.888169018]}",81,152,16,11,31,8:25 AM - 8:45 AM,"M, T, W, TH",,,,,,,,,,,,,
00652-0009,2022-2023,SSOCONTACTS,00652,PORT ARTHUR ISD,Educational Institution,Public,5,3,Active,RENEWAL,0009,MEMORIAL HIGH SCHOOL,Active,RENEWAL,123-907,JEFFERSON,JEFFERSON,4801 9th Ave.,Port Arthur,TX,77642-5802,4801 9th Avenue,PORT ARTHUR,TX,77642-5802,3501 S/Sgt. Lucian Adams Dr.,PORT ARTHUR,TX,77642,Dr.,Mark,Porterie,SUPERINTENDENT,mporterie@paisd.org,4099896238,Mr.,Robin,Rhodes,Child Nutrition Director,Robin.Rhodes@paisd.org,4099896122,Mr.,Robin,Rhodes,Child Nutrition Director,Robin.Rhodes@paisd.org,4099896122,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:50 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-93.968707019, 29.93233134]}",22,172,16,14,3,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00384-0009,2022-2023,SSOCONTACTS,00384,LAMAR CONSOLIDATED ISD,Educational Institution,Public,4,3,Active,RENEWAL,0009,GEORGE RANCH H S,Active,RENEWAL,079-901,FORT BEND,FORT BEND,3911 AVE I,ROSENBERG,TX,77471-3901,3911 AVE I,ROSENBERG,TX,77471-3901,8181 FM 762,RICHMOND,TX,77469,Dr.,Roosevelt,Nivens,SUPERINTENDENT,roosevelt.nivens@lcisd.org,8322230000,Mrs.,Monica,Tomas,Director,monica.tomas@lcisd.org,8322230182,Mrs.,Monica,Tomas,Child Nutrition Director,monica.tomas@lcisd.org,8322230180,Open,2023-06-05T00:00:00.000,2023-07-18T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.693878578, 29.517232199]}",85,137,16,22,17,7:30 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00215-0045,2022-2023,SSOCONTACTS,00215,COMAL ISD,Educational Institution,Public,20,4,Active,RENEWAL,0045,CHURCH HILL MIDDLE SCHOOL,Active,RENEWAL,046-902,COMAL,COMAL,1404 IH 35 N,NEW BRAUNFELS,TX,78130-2817,1404 IH 35 N,NEW BRAUNFELS,TX,78130-2817,1275 N BUSINESS IH 35,NEW BRAUNFELS,TX,78130-3238,Dr.,John,Champman III,Superintendent,superintendent@comalisd.org,8302212000,Dr.,John,Champman III,Superintendent,superintendent@comalisd.org,8302212000,,Phyllis,Carvalho,Senior Associate,p.carvalho@comalisd.org,8302212067,Open,2023-06-05T00:00:00.000,2023-06-22T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.09524869, 29.704324225]}",73,129,16,21,25,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00157-0101,2022-2023,SSOCONTACTS,00157,SAN BENITO CONS ISD,Educational Institution,Public,1,5,Active,RENEWAL,0101,FRED BOOTH,Active,RENEWAL,031-912,CAMERON,CAMERON,240 N CROCKETT STREET,SAN BENITO,TX,78586-4608,240 N CROCKETT STREET,SAN BENITO,TX,78586-4608,705 Zaragosa,SAN BENITO,TX,78586-4501,Ms.,Theresa,Servellon,Interim Superintendent,tservellon@sbcisd.net,9563616110,Ms.,Araceli,Soto,Child Nutrition Program  Director,asoto@sbcisd.net,9563616400,Mrs.,ARACELI,SOTO,CNP DIRECTOR,asoto@sbcisd.net,9563616400,Open,2023-05-29T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.640355992, 26.135645987]}",35,144,16,34,27,7:00 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01002-0108,2022-2023,SSOCONTACTS,01002,ROMA ISD,Educational Institution,Public,1,5,Active,RENEWAL,0108,ROEL AND CELIA SAENZ ELEMENTARY,Active,RENEWAL,214-903,STARR,STARR,608 N GARCIA ST,ROMA,TX,78584-0187,P O BOX 187,ROMA,TX,78584-0187,310 S GATE RD,ROMA,TX,78584-0187,Mr.,CARLOS,Gonzalez,SUPERINTENDENT,cgonzalez@romaisd.com,9568491377,Mr.,Juan Jesus,Trevino,Child Nutrition Director,jjtrevino@romaisd.com,9568498122,Mrs.,Maria Guadalupe,Hinojosa,Cafeteria Manager,mghinojosa2@romaisd.com,9568472519,Open Restricted,2023-05-30T00:00:00.000,2023-06-22T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.996934072, 26.412071781]}",31,113,16,28,21,7:00 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00082-0001,2022-2023,SSOCONTACTS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,Active,RENEWAL,0001,BRACKENRIDGE H S,Active,RENEWAL,015-907,BEXAR,BEXAR,514 W. Quincy St.,SAN ANTONIO,TX,78212-5163,1270 W. Summit Avenue,SAN ANTONIO,TX,78201-5657,400 EAGLELAND ST,SAN ANTONIO,TX,78210-1299,Dr.,Jaime R.,Aquino,SUPERINTENDENT,jaquino1@saisd.net,2105542281,Mrs.,Jenny,Arredondo,Senior Executive Director,jarredondo3@saisd.net,2105542290,Ms.,Berta,Macat,Director of Compliance,bmacat@saisd.net,2105542290,Open,2023-06-05T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.487658025, 29.405418997]}",123,44,16,35,26,8:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00566-0109,2022-2023,SSOCONTACTS,00566,EDINBURG ISD,Educational Institution,Public,1,5,Active,RENEWAL,0109,GUERRA ELEM,Active,RENEWAL,108-904,HIDALGO,HIDALGO,411 N 8TH ST,EDINBURG,TX,78541-3309,P O BOX 990,EDINBURG,TX,78540-0990,10010 N VILLA FERNANDEZ RD,EDINBURG,TX,78539,Dr.,Mario,Salinas,SUPERINTENDENT,t.crist@ecisd.us,9562892300,Mr.,Jaime,Perez,Director for Child Nutrition,jo.perez@ecisd.us,9562892575,Mr.,Jaime,Perez,Director for Child Nutrition,jo.perez@ecisd.us,9562892575,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:45 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.1849126, 26.2865256]}",40,134,16,15,20,7:45 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
