odprecid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfast,breakfasttotal,amsnackdays,amsnack,amsnacktotal,lunchdays,lunch,lunchtotal,pmsnackdays,pmsnack,pmsnacktotal,supperdays,supper,suppertotal,totalsnacks,totalmealssnacks,secondbreakfast,secondamsnack,secondlunch,secondpmsnack,secondsupper
00003-0001,2025,SEAMLESS_SUMMER_OPTION_MEALS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,0001,FRANKSTON H S,001-904,ANDERSON,ANDERSON,2025-06-01T00:00:00.000,15,594,594,0,0,0,15,613,613,0,0,0,0,0,0,0,1207,,,,,
00003-0109,2025,SEAMLESS_SUMMER_OPTION_MEALS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,0109,First Baptist Church Frankston,001-904,ANDERSON,ANDERSON,2025-06-01T00:00:00.000,0,0,0,0,0,0,4,680,680,0,0,0,0,0,0,0,680,,,,,
00003-0131,2025,SEAMLESS_SUMMER_OPTION_MEALS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,0131,Lil Indians Day Care,001-904,ANDERSON,ANDERSON,2025-06-01T00:00:00.000,15,792,792,0,0,0,15,803,803,0,0,0,0,0,0,0,1595,,,,,
00005-0041,2025,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0041,PALESTINE MIDDLE,001-907,ANDERSON,ANDERSON,2025-05-01T00:00:00.000,3,284,284,0,0,0,3,404,404,0,0,0,0,0,0,0,688,,,,,
00005-0041,2025,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0041,PALESTINE MIDDLE,001-907,ANDERSON,ANDERSON,2025-06-01T00:00:00.000,12,509,509,0,0,0,12,712,712,0,0,0,0,0,0,0,1221,,,,,
00005-0102,2025,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0102,WASHINGTON EARLY CHILDHOOD CENTER,001-907,ANDERSON,ANDERSON,2025-05-01T00:00:00.000,8,197,197,0,0,0,8,221,221,0,0,0,0,0,0,0,418,,,,,
00005-0102,2025,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0102,WASHINGTON EARLY CHILDHOOD CENTER,001-907,ANDERSON,ANDERSON,2025-06-01T00:00:00.000,9,164,164,0,0,0,9,194,194,0,0,0,0,0,0,0,358,,,,,
00005-0110,2025,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0110,STORY EL,001-907,ANDERSON,ANDERSON,2025-05-01T00:00:00.000,3,547,547,0,0,0,3,549,549,0,0,0,0,0,0,0,1096,,,,,
00005-0110,2025,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0110,STORY EL,001-907,ANDERSON,ANDERSON,2025-06-01T00:00:00.000,12,1263,1263,0,0,0,12,1658,1658,0,0,0,0,0,0,0,2921,,,,,
00006-0041,2025,SEAMLESS_SUMMER_OPTION_MEALS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,0041,WESTWOOD J H,001-908,ANDERSON,ANDERSON,2025-06-01T00:00:00.000,16,1800,1800,0,0,0,16,2304,2304,0,0,0,0,0,0,0,4104,,,,,
