odprecid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfast,breakfasttotal,amsnackdays,amsnack,amsnacktotal,lunchdays,lunch,lunchtotal,pmsnackdays,pmsnack,pmsnacktotal,supperdays,supper,suppertotal,totalsnacks,totalmealssnacks,secondbreakfast,secondamsnack,secondlunch,secondpmsnack,secondsupper
00003-0001,2023,SEAMLESS_SUMMER_OPTION_MEALS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,0001,FRANKSTON H S,001-904,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,20,66,66,0,0,0,20,141,141,0,0,0,0,0,0,0,207,,,,,
00003-0109,2023,SEAMLESS_SUMMER_OPTION_MEALS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,0109,First Baptist Church Frankston,001-904,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,0,0,0,0,0,0,5,955,955,0,0,0,0,0,0,0,955,,,,,
00003-0131,2023,SEAMLESS_SUMMER_OPTION_MEALS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,0131,Lil Indians Day Care,001-904,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,20,1188,1188,0,0,0,20,1180,1180,0,0,0,0,0,0,0,2368,,,,,
00005-0001,2023,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0001,PALESTINE H S,001-907,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,16,1149,1149,0,0,0,16,2153,2153,0,0,0,0,0,0,0,3302,,,,,
00005-0041,2023,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0041,PALESTINE MIDDLE,001-907,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
00005-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0101,NORTHSIDE PRI,001-907,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,16,1094,1094,0,0,0,16,1502,1502,0,0,0,0,0,0,0,2596,,,,,
00005-0102,2023,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0102,WASHINGTON EARLY CHILDHOOD CENTER,001-907,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,16,827,827,0,0,0,16,932,932,0,0,0,0,0,0,0,1759,,,,,
00005-0110,2023,SEAMLESS_SUMMER_OPTION_MEALS,00005,PALESTINE ISD,Educational Institution,Public,7,2,0110,STORY EL,001-907,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,16,779,779,0,0,0,16,829,829,0,0,0,0,0,0,0,1608,,,,,
00006-0002,2023,SEAMLESS_SUMMER_OPTION_MEALS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,0002,WESTWOOD H S,001-908,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,15,1062,1062,0,0,0,15,2109,2109,0,0,0,0,0,0,0,3171,,,,,
00006-0101,2023,SEAMLESS_SUMMER_OPTION_MEALS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,0101,WESTWOOD EL,001-908,ANDERSON,ANDERSON,2023-06-01T00:00:00.000,15,420,420,0,0,0,15,420,420,0,0,0,0,0,0,0,840,,,,,
