odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
00003_6_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,001-904,ANDERSON,3,0,3,2024-06-01T00:00:00.000,1151,0,1741,0,0,2624.28,0.0,7573.35,0.0,0.0,10197.63
00005_5_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00005,PALESTINE ISD,Educational Institution,Public,7,2,001-907,ANDERSON,3,0,3,2024-05-01T00:00:00.000,326,0,443,0,0,889.98,0.0,1927.05,0.0,0.0,2817.03
00005_6_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00005,PALESTINE ISD,Educational Institution,Public,7,2,001-907,ANDERSON,3,0,3,2024-06-01T00:00:00.000,964,0,1240,0,0,2631.72,0.0,5394.0,0.0,0.0,8025.72
00006_6_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,001-908,ANDERSON,3,0,3,2024-06-01T00:00:00.000,1832,0,1832,0,0,5001.36,0.0,7969.2,0.0,0.0,12970.56
00008_6_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00008,ANDREWS ISD,Educational Institution,Public,18,1,002-901,ANDREWS,2,0,2,2024-06-01T00:00:00.000,1506,0,2417,0,0,4111.38,0.0,10513.95,0.0,0.0,14625.33
00013_6_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,2,0,2,2024-06-01T00:00:00.000,5827,0,7289,0,0,15907.71,0.0,31707.15,0.0,0.0,47614.86
00013_7_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,2,0,2,2024-07-01T00:00:00.000,3300,0,4120,0,0,9372.0,0.0,18704.8,0.0,0.0,28076.8
00016_6_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00016,Rockport-Fulton ISD,Educational Institution,Public,2,5,004-901,ARANSAS,2,0,2,2024-06-01T00:00:00.000,8460,0,9233,0,0,23095.8,0.0,40163.55,0.0,0.0,63259.35
00022_6_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00022,JOURDANTON ISD,Educational Institution,Public,20,4,007-902,ATASCOSA,1,0,1,2024-06-01T00:00:00.000,1804,0,2154,0,0,4113.12,0.0,9369.9,0.0,0.0,13483.02
00023_5_2024_SUMMERSSOCEREIMBURSEMENTS,2023-2024,SUMMERSSOCEREIMBURSEMENTS,00023,LYTLE ISD,Educational Institution,Public,20,4,007-904,ATASCOSA,2,0,2,2024-05-01T00:00:00.000,223,0,531,0,0,608.79,0.0,2309.85,0.0,0.0,2918.64
