programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,9,0,9,2021-06-01T00:00:00.000,6763,0,13919,0,0,15149.1200,0.0000,54423.2900,0.0000,0.0000,7176.7600,76749.1700
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,10,0,10,2021-07-01T00:00:00.000,2908,0,5267,0,0,6513.9200,0.0000,20593.9700,0.0000,0.0000,2793.3300,29901.2200
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,007-901,ATASCOSA,1,1,0,2021-06-01T00:00:00.000,2045,0,2045,0,0,4580.8000,0.0000,7995.9500,0.0000,0.0000,1288.3500,13865.1000
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,007-901,ATASCOSA,1,1,0,2021-07-01T00:00:00.000,776,0,776,0,0,1738.2400,0.0000,3034.1600,0.0000,0.0000,488.8800,5261.2800
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,007-905,ATASCOSA,5,0,5,2021-06-01T00:00:00.000,3602,0,6324,0,87,8068.4800,0.0000,24726.8400,0.0000,340.1700,3413.9300,36549.4200
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,007-905,ATASCOSA,3,0,3,2021-07-01T00:00:00.000,332,0,426,0,0,743.6800,0.0000,1665.6600,0.0000,0.0000,247.4700,2656.8100
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,6,2,4,2020-10-01T00:00:00.000,13628,0,16833,0,0,29436.4800,0.0000,63292.0800,0.0000,0.0000,9536.9700,102265.5300
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,6,2,4,2020-11-01T00:00:00.000,8954,0,11097,0,0,19340.6400,0.0000,41724.7200,0.0000,0.0000,6280.6800,67346.0400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,6,2,4,2020-12-01T00:00:00.000,6403,0,8393,0,0,13830.4800,0.0000,31557.6800,0.0000,0.0000,4670.9000,50059.0600
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,5,1,4,2021-01-01T00:00:00.000,11968,0,14821,0,0,26808.3200,0.0000,57950.1100,0.0000,0.0000,8702.4400,93460.8700
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,5,1,4,2021-02-01T00:00:00.000,10512,0,13646,0,0,23546.8800,0.0000,53355.8600,0.0000,0.0000,7899.6700,84802.4100
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,5,1,4,2021-03-01T00:00:00.000,13786,0,17220,0,0,30880.6400,0.0000,67330.2000,0.0000,0.0000,10084.5400,108295.3800
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,6,2,4,2021-04-01T00:00:00.000,13579,0,20671,0,0,30416.9600,0.0000,80823.6100,0.0000,0.0000,11444.7600,122685.3300
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,7,3,4,2021-05-01T00:00:00.000,15033,0,27073,0,0,33673.9200,0.0000,105855.4300,0.0000,0.0000,14377.0900,153906.4400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,1,1,0,2021-06-01T00:00:00.000,145,0,262,0,0,324.8000,0.0000,1024.4200,0.0000,0.0000,139.0300,1488.2500
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,1,1,0,2021-07-01T00:00:00.000,866,0,1219,0,0,1939.8400,0.0000,4766.2900,0.0000,0.0000,689.4300,7395.5600
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,3,0,3,2021-06-01T00:00:00.000,2716,0,2798,0,0,6083.8400,0.0000,10940.1800,0.0000,0.0000,1744.5000,18768.5200
