programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement,countydistrictcode
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05920,UNIQUE PIECES INC.,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,7,0,7,2022-05-01T00:00:00.000,0,0,271,271,0,0.0,0.0,1119.23,260.16,0.0,149.05,1528.44,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00965,GREGORY-PORTLAND ISD,Educational Institution,School Food Authority,2,5,SAN PATRICIO,2,0,2,2022-07-01T00:00:00.000,930,0,2250,0,0,2204.1,0.0,9292.5,0.0,0.0,1191.68,12688.28,205-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00349,YSLETA ISD,Educational Institution,School Food Authority,19,1,EL PASO,1,0,1,2022-05-01T00:00:00.000,8,0,56,0,0,18.96,0.0,231.28,0.0,0.0,26.1,276.34,071-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01534,THE HOUSTON FOOD BANK,Private Non Profit Organization,Private Nonprofit,4,3,GALVESTON,140,0,140,2022-07-01T00:00:00.000,35482,0,53303,1110,0,84092.34,0.0,220141.39,1065.6,0.0,31522.25,336821.58,101-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04405,Nutrition Transitions,Private Non Profit Organization,Private Nonprofit,4,3,DALLAS,21,0,21,2022-07-01T00:00:00.000,7220,0,10520,16376,14200,17111.4,0.0,43447.6,15720.96,58646.0,14312.28,149238.24,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04080,"Village Hands and Hearts, Inc.",Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,8,0,8,2022-07-01T00:00:00.000,5731,0,8861,494,0,13582.47,0.0,36595.93,474.24,0.0,5237.22,55889.86,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04660,NORA'S WOMEN OF PURPOSE,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,25,0,25,2022-06-01T00:00:00.000,15819,0,17034,0,0,37491.03,0.0,70350.42,0.0,0.0,11084.68,118926.13,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03974,P.L.A.Y.S. (Positive Leadership Advances Youth Self Development),Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,3,0,3,2022-05-01T00:00:00.000,35,0,80,50,0,82.95,0.0,330.4,48.0,0.0,39.71,501.06,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,ATASCOSA,1,0,1,2022-06-01T00:00:00.000,642,0,802,0,0,1521.54,0.0,3312.26,0.0,0.0,497.74,5331.54,007-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00529,SPRING BRANCH ISD,Educational Institution,School Food Authority,4,3,HARRIS,1,0,1,2022-05-01T00:00:00.000,26,0,108,0,0,61.62,0.0,446.04,0.0,0.0,52.82,560.48,101-920
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06480,South Texas Juvenile Diabetes Association,Private Non Profit Organization,Private Nonprofit,1,5,HIDALGO,3,0,3,2022-06-01T00:00:00.000,530,197,526,237,0,1256.1,189.12,2172.38,227.52,0.0,403.05,4248.17,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01162,KERMIT ISD,Educational Institution,School Food Authority,18,1,WINKLER,1,0,1,2022-05-01T00:00:00.000,91,0,140,0,0,215.67,0.0,578.2,0.0,0.0,81.94,875.81,248-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06928,DFW Economic Solutions,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,10,0,10,2022-05-01T00:00:00.000,1498,0,1323,0,0,3550.26,0.0,5463.99,0.0,0.0,924.23,9938.48,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00766,STANTON ISD,Educational Institution,School Food Authority,18,1,MARTIN,1,0,1,2022-06-01T00:00:00.000,863,0,1223,0,0,2045.31,0.0,5050.99,0.0,0.0,731.76,7828.06,156-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,JEFFERSON,37,0,37,2022-06-01T00:00:00.000,11447,0,14147,375,0,27129.39,0.0,58427.11,360.0,0.0,8852.69,94769.19,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,02225,D.M. Ministries Community Development Corporation,Private Non Profit Organization,Private Nonprofit,10,2,NACOGDOCHES,4,0,4,2022-06-01T00:00:00.000,1338,0,1501,0,0,3171.06,0.0,6199.13,0.0,0.0,963.61,10333.8,174-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06377,Britestar Community Center Inc,Private Non Profit Organization,Private Nonprofit,4,3,HARRIS,12,0,12,2022-08-01T00:00:00.000,0,0,8104,8104,0,0.0,0.0,33469.52,7779.84,0.0,4457.2,45706.56,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00965,GREGORY-PORTLAND ISD,Educational Institution,School Food Authority,2,5,SAN PATRICIO,3,0,3,2022-06-01T00:00:00.000,1530,0,3193,0,0,3626.1,0.0,13187.09,0.0,0.0,1740.52,18553.71,205-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01893,ARMED SERVICES YMCA CHILD DEVELOPMENT CENTER,Private Non Profit Organization,Private Nonprofit,19,1,EL PASO,1,0,1,2022-06-01T00:00:00.000,1449,0,2055,0,0,3434.13,0.0,8487.15,0.0,0.0,1229.31,13150.59,071-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04493,THE JOSH HOWARD FOUNDATION,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,13,0,13,2022-07-01T00:00:00.000,2000,7677,9959,0,0,4740.0,7369.92,41130.67,0.0,0.0,5679.32,58919.91,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06317,KIDS GRAB ON THE GO,Private Non Profit Organization,Private Nonprofit,10,2,DAWSON,9,0,9,2022-08-01T00:00:00.000,6811,0,6811,0,0,16142.07,0.0,28129.43,0.0,0.0,4546.35,48817.85,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,BASTROP,6,0,6,2022-06-01T00:00:00.000,8303,0,11333,0,0,19678.11,0.0,46805.29,0.0,0.0,6852.73,73336.13,011-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03554,"YOUNG WOMENS CHRISTIAN ASSOCIATION OF LUBBOCK, TEX",Private Non Profit Organization,Private Nonprofit,17,1,LUBBOCK,2,0,2,2022-06-01T00:00:00.000,0,0,4761,4564,0,0.0,0.0,19662.93,4381.44,0.0,2595.4,26639.77,152-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01138,WICHITA FALLS ISD,Educational Institution,School Food Authority,9,2,WICHITA,10,0,10,2022-07-01T00:00:00.000,3654,0,6920,0,0,8659.98,0.0,28579.6,0.0,0.0,3851.59,41091.17,243-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,JEFFERSON,3,0,3,2022-05-01T00:00:00.000,49,0,69,0,0,116.13,0.0,284.97,0.0,0.0,41.36,442.46,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06834,K-Nation Group,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,8,0,8,2022-08-01T00:00:00.000,11795,0,11795,0,0,27954.15,0.0,48713.35,0.0,0.0,7873.17,84540.67,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,ATASCOSA,6,0,6,2022-06-01T00:00:00.000,5572,0,9164,0,163,13205.64,0.0,37847.32,0.0,673.19,5343.35,57069.5,007-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05243,"Kids Bring Life, Inc.",Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,2,0,2,2022-05-01T00:00:00.000,0,0,90,90,0,0.0,0.0,371.7,86.4,0.0,49.51,507.61,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04660,NORA'S WOMEN OF PURPOSE,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,27,0,27,2022-07-01T00:00:00.000,18532,0,18853,0,0,43920.84,0.0,77862.89,0.0,0.0,12508.94,134292.67,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01123,UNITED ISD,Educational Institution,School Food Authority,1,5,WEBB,32,0,32,2022-06-01T00:00:00.000,71227,0,88174,0,0,168807.99,0.0,364158.62,0.0,0.0,54873.61,587840.22,240-903
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00403,GALVESTON ISD,Educational Institution,School Food Authority,4,3,GALVESTON,1,0,1,2022-08-01T00:00:00.000,931,0,969,0,0,2206.47,0.0,4001.97,0.0,0.0,637.88,6846.32,084-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01530,SAN ANTONIO FOOD BANK,Private Non Profit Organization,Private Nonprofit,20,4,BEXAR,85,0,85,2022-06-01T00:00:00.000,4458,0,28593,22710,0,10565.46,0.0,118089.09,21801.6,0.0,16082.53,166538.68,015-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01549,WEST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,18,1,ECTOR,3,0,3,2022-08-01T00:00:00.000,0,0,62,47,0,0.0,0.0,256.06,45.12,0.0,32.34,333.52,068-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00327,ECTOR COUNTY ISD,Educational Institution,School Food Authority,18,1,ECTOR,17,0,17,2022-07-01T00:00:00.000,8091,0,12127,0,0,19175.67,0.0,50084.51,0.0,0.0,7146.32,76406.5,068-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00969,SINTON ISD,Educational Institution,School Food Authority,2,5,SAN PATRICIO,2,0,2,2022-06-01T00:00:00.000,1354,0,2717,0,0,3208.98,0.0,11221.21,0.0,0.0,1493.29,15923.48,205-906
