odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
00011_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,8,0,8,2025-06-01T00:00:00.000,8231,0,15392,0,0,23129.11,0.0,75266.88,0.0,0.0,10172.5,108568.49
00011_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,6,0,6,2025-07-01T00:00:00.000,1669,0,2816,0,0,4689.89,0.0,13770.24,0.0,0.0,1906.35,20366.48
00021_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,007-901,ATASCOSA,1,0,1,2025-06-01T00:00:00.000,846,0,1070,0,0,2377.26,0.0,5232.3,0.0,0.0,783.15,8392.71
00029_5_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,1,0,1,2025-05-01T00:00:00.000,48,0,49,0,0,134.88,0.0,239.61,0.0,0.0,38.43,412.92
00029_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,3,0,3,2025-06-01T00:00:00.000,1327,0,1292,0,0,3728.87,0.0,6317.88,0.0,0.0,1030.39,11077.14
00033_5_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,011-902,BASTROP,2,0,2,2025-05-01T00:00:00.000,514,0,599,0,0,1444.34,0.0,2929.11,0.0,0.0,449.63,4823.08
00033_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,011-902,BASTROP,2,0,2,2025-06-01T00:00:00.000,3769,0,4627,0,0,10590.89,0.0,22626.03,0.0,0.0,3417.24,36634.16
00050_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00050,TEMPLE ISD,Educational Institution,School Food Authority,12,2,014-909,BELL,6,0,6,2025-06-01T00:00:00.000,6220,0,13666,0,0,17478.2,0.0,66826.74,0.0,0.0,8729.88,93034.82
00050_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00050,TEMPLE ISD,Educational Institution,School Food Authority,12,2,014-909,BELL,3,0,3,2025-07-01T00:00:00.000,2873,0,7813,0,0,8073.13,0.0,38205.57,0.0,0.0,4801.42,51080.12
00050_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00050,TEMPLE ISD,Educational Institution,School Food Authority,12,2,014-909,BELL,1,0,1,2025-08-01T00:00:00.000,348,0,1109,0,0,977.88,0.0,5423.01,0.0,0.0,664.93,7065.82
00085_5_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00085,NORTH EAST ISD,Educational Institution,School Food Authority,20,4,015-910,BEXAR,5,0,5,2025-05-01T00:00:00.000,244,0,308,0,0,685.64,0.0,1506.12,0.0,0.0,225.56,2417.32
00085_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00085,NORTH EAST ISD,Educational Institution,School Food Authority,20,4,015-910,BEXAR,34,0,34,2025-06-01T00:00:00.000,31102,0,39545,0,0,87396.62,0.0,193375.05,0.0,0.0,28897.62,309669.29
00085_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00085,NORTH EAST ISD,Educational Institution,School Food Authority,20,4,015-910,BEXAR,26,0,26,2025-07-01T00:00:00.000,10791,0,13264,0,0,30322.71,0.0,64860.96,0.0,0.0,9792.3,104975.97
00087_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,00087,SOUTHWEST ISD,Educational Institution,School Food Authority,20,4,015-912,BEXAR,4,0,4,2025-06-01T00:00:00.000,5883,0,9193,0,0,16531.23,0.0,44953.77,0.0,0.0,6343.94,67828.94
