odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
00003_6_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,001-904,ANDERSON,3,0,3,2023-06-01T00:00:00.000,1254,0,2276,0,0,3348.1800,0.0000,10082.6800,0.0000,0.0000,13430.8600
00005_6_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00005,PALESTINE ISD,Educational Institution,Public,7,2,001-907,ANDERSON,4,0,4,2023-06-01T00:00:00.000,3849,0,5416,0,0,10276.8300,0.0000,23992.8800,0.0000,0.0000,34269.7100
00006_6_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,001-908,ANDERSON,3,0,3,2023-06-01T00:00:00.000,1902,0,2949,0,0,5078.3400,0.0000,13064.0700,0.0000,0.0000,18142.4100
00008_6_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00008,ANDREWS ISD,Educational Institution,Public,18,1,002-901,ANDREWS,1,0,1,2023-06-01T00:00:00.000,836,0,2056,0,0,2232.1200,0.0000,9066.9600,0.0000,0.0000,11299.0800
00013_6_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,3,0,3,2023-06-01T00:00:00.000,2773,0,3540,0,0,7403.9100,0.0000,15682.2000,0.0000,0.0000,23086.1100
00013_7_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,1,0,1,2023-07-01T00:00:00.000,0,0,497,0,0,0.0000,0.0000,2161.9500,0.0000,0.0000,2161.9500
00016_6_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00016,Rockport-Fulton ISD,Educational Institution,Public,2,5,004-901,ARANSAS,3,0,3,2023-06-01T00:00:00.000,3056,0,3824,0,0,8159.5200,0.0000,16940.3200,0.0000,0.0000,25099.8400
00022_6_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00022,JOURDANTON ISD,Educational Institution,Public,20,4,007-902,ATASCOSA,1,0,1,2023-06-01T00:00:00.000,615,0,902,0,0,1389.9000,0.0000,3995.8600,0.0000,0.0000,5385.7600
00023_5_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00023,LYTLE ISD,Educational Institution,Public,20,4,007-904,ATASCOSA,2,0,2,2023-05-01T00:00:00.000,114,0,169,0,0,304.3800,0.0000,748.6700,0.0000,0.0000,1053.0500
00023_6_2023_SUMMERSSOCEREIMBURSEMENTS,2022-2023,SUMMERSSOCEREIMBURSEMENTS,00023,LYTLE ISD,Educational Institution,Public,20,4,007-904,ATASCOSA,2,0,2,2023-06-01T00:00:00.000,2693,0,5384,0,0,7190.3100,0.0000,23851.1200,0.0000,0.0000,31041.4300
