programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00001,CAYUGA ISD,Educational Institution,Public,7,2,001-902,ANDERSON,1,1,0,2020-03-01T00:00:00.000,284,0,284,0,0,624.8000,0.0000,988.3200,0.0000,0.0000,1613.1200
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00001,CAYUGA ISD,Educational Institution,Public,7,2,001-902,ANDERSON,1,1,0,2020-04-01T00:00:00.000,739,0,739,0,0,1625.8000,0.0000,2571.7200,0.0000,0.0000,4197.5200
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00001,CAYUGA ISD,Educational Institution,Public,7,2,001-902,ANDERSON,1,1,0,2020-05-01T00:00:00.000,886,0,886,0,0,1949.2000,0.0000,3083.2800,0.0000,0.0000,5032.4800
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00002,ELKHART ISD,Educational Institution,Public,7,2,001-903,ANDERSON,1,1,0,2020-03-01T00:00:00.000,1862,0,2295,0,0,4096.4000,0.0000,8032.5000,0.0000,0.0000,12128.9000
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00002,ELKHART ISD,Educational Institution,Public,7,2,001-903,ANDERSON,1,1,0,2020-04-01T00:00:00.000,6471,0,8908,0,0,14236.2000,0.0000,31178.0000,0.0000,0.0000,45414.2000
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00002,ELKHART ISD,Educational Institution,Public,7,2,001-903,ANDERSON,1,1,0,2020-05-01T00:00:00.000,5613,0,5670,0,0,12348.6000,0.0000,19845.0000,0.0000,0.0000,32193.6000
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00002,ELKHART ISD,Educational Institution,Public,7,2,001-903,ANDERSON,1,1,0,2020-06-01T00:00:00.000,1896,0,1896,0,0,4171.2000,0.0000,6636.0000,0.0000,0.0000,10807.2000
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,001-904,ANDERSON,15,15,0,2020-03-01T00:00:00.000,2063,0,2054,0,0,4393.8800,0.0000,7189.0000,0.0000,0.0000,11582.8800
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,001-904,ANDERSON,15,15,0,2020-04-01T00:00:00.000,8269,0,8269,0,0,17498.8000,0.0000,28941.5000,0.0000,0.0000,46440.3000
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,001-904,ANDERSON,15,15,0,2020-05-01T00:00:00.000,6149,0,6149,0,0,13067.3600,0.0000,21521.5000,0.0000,0.0000,34588.8600
2019-2020,SUMMERSSOCEREIMBURSEMENTS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,001-904,ANDERSON,15,15,0,2020-06-01T00:00:00.000,4392,0,4344,0,0,9428.4000,0.0000,15204.0000,0.0000,0.0000,24632.4000
