programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00015,CENTRAL ISD,Educational Institution,Public,7,3,003-907,ANGELINA,3,0,3,2021-08-01T00:00:00.000,3080,0,8957,0,0,7584.5000,0.0000,38671.8400,0.0000,0.0000,46256.3400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00152,HARLINGEN CONS ISD,Educational Institution,Public,1,5,031-903,CAMERON,55,25,30,2021-01-01T00:00:00.000,111586,0,120362,0,0,252184.3600,0.0000,433303.2000,0.0000,0.0000,685487.5600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00157,SAN BENITO CONS ISD,Educational Institution,Public,1,5,031-912,CAMERON,57,41,16,2021-02-01T00:00:00.000,107928,0,110983,0,0,243917.2800,0.0000,399538.8000,0.0000,0.0000,643456.0800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00230,EVANT ISD,Educational Institution,Public,12,2,050-901,CORYELL,2,0,2,2021-09-01T00:00:00.000,1659,0,3044,0,0,4085.2800,0.0000,13142.4700,0.0000,0.0000,17227.7500
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00289,LAMESA ISD,Educational Institution,Public,17,1,058-906,DAWSON,2,2,0,2021-07-01T00:00:00.000,6445,0,6455,0,0,15870.8100,0.0000,27869.4600,0.0000,0.0000,43740.2700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,Public,11,2,061-901,DENTON,24,1,23,2021-07-01T00:00:00.000,8399,0,10669,0,0,20682.5300,0.0000,46063.4000,0.0000,0.0000,66745.9300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01129,LOUISE ISD,Educational Institution,Public,3,3,241-906,WHARTON,3,0,3,2021-09-01T00:00:00.000,4790,0,5978,0,0,11795.3700,0.0000,25810.0100,0.0000,0.0000,37605.3800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00839,PEWITT CONS ISD,Educational Institution,Public,8,2,172-905,MORRIS,3,0,3,2021-01-01T00:00:00.000,3667,0,9890,0,0,8287.4200,0.0000,35604.0000,0.0000,0.0000,43891.4200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00910,FORT STOCKTON ISD,Educational Institution,Public,18,1,186-902,PECOS,6,1,5,2021-01-01T00:00:00.000,8115,0,16513,0,0,18339.9000,0.0000,59446.8000,0.0000,0.0000,77786.7000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00923,PRESIDIO ISD,Educational Institution,Public,18,1,189-902,PRESIDIO,3,3,0,2020-12-01T00:00:00.000,3227,0,3227,0,0,7293.0200,0.0000,11617.2000,0.0000,0.0000,18910.2200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01033,TEXAS COLLEGE PREPARATORY ACADEMIES,Educational Institution,Charter,14,1,221-801,TAYLOR,35,0,35,2020-12-01T00:00:00.000,34762,0,44175,0,0,73363.6200,0.0000,159030.0000,0.0000,0.0000,232393.6200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01049,TLC ACADEMY,Educational Institution,Charter,15,4,226-801,TOM GREEN,11,0,11,2021-08-01T00:00:00.000,9943,0,20860,0,0,24484.6300,0.0000,90063.0500,0.0000,0.0000,114547.6800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01090,UNION GROVE ISD,Educational Institution,Public,7,2,230-908,UPSHUR,3,0,3,2021-02-01T00:00:00.000,2808,0,6605,0,0,6346.0800,0.0000,23645.9000,0.0000,0.0000,29991.9800
