programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,7,7,0,2020-03-01T00:00:00.000,9661,0,10499,0,0,20867.7600,0.0000,39476.2400,0.0000,0.0000,6197.9800,66541.9800
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,6,6,0,2020-04-01T00:00:00.000,30153,0,31370,0,0,65130.4800,0.0000,117951.2000,0.0000,0.0000,18795.6300,201877.3100
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,7,7,0,2020-05-01T00:00:00.000,21574,0,21106,0,0,46599.8400,0.0000,79358.5600,0.0000,0.0000,12922.5200,138880.9200
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,4,4,0,2020-06-01T00:00:00.000,14822,0,14799,0,0,32015.5200,0.0000,55644.2400,0.0000,0.0000,8995.3400,96655.1000
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,007-901,ATASCOSA,1,1,0,2020-06-01T00:00:00.000,2161,0,2161,0,0,4667.7600,0.0000,8125.3600,0.0000,0.0000,1312.8100,14105.9300
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,007-905,ATASCOSA,8,8,0,2020-03-01T00:00:00.000,4707,0,6582,0,0,10167.1200,0.0000,24748.3200,0.0000,0.0000,3595.4500,38510.8900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,007-905,ATASCOSA,10,10,0,2020-04-01T00:00:00.000,21234,0,21234,0,0,45865.4400,0.0000,79839.8400,0.0000,0.0000,12899.6600,138604.9400
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,007-905,ATASCOSA,10,10,0,2020-05-01T00:00:00.000,13680,0,13680,0,0,29548.8000,0.0000,51436.8000,0.0000,0.0000,8310.6000,89296.2000
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,007-905,ATASCOSA,7,7,0,2020-06-01T00:00:00.000,8735,0,8735,0,0,18867.6000,0.0000,32843.6000,0.0000,0.0000,5306.5200,57017.7200
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,1,1,0,2020-03-01T00:00:00.000,3597,0,4190,0,0,7769.5200,0.0000,15754.4000,0.0000,0.0000,2417.9400,25941.8600
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,2,2,0,2020-04-01T00:00:00.000,8734,0,8734,0,0,18865.4400,0.0000,32839.8400,0.0000,0.0000,5305.9100,57011.1900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,2,2,0,2020-05-01T00:00:00.000,5755,0,5755,0,0,12430.8000,0.0000,21638.8000,0.0000,0.0000,3496.1700,37565.7700
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,1,1,0,2020-06-01T00:00:00.000,3936,0,3936,0,0,8501.7600,0.0000,14799.3600,0.0000,0.0000,2391.1200,25692.2400
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,1,1,0,2020-07-01T00:00:00.000,1753,0,1753,0,0,3786.4800,0.0000,6591.2800,0.0000,0.0000,1064.9500,11442.7100
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,007-906,ATASCOSA,6,2,4,2020-09-01T00:00:00.000,7381,0,8183,0,0,15942.9600,0.0000,30768.0800,0.0000,0.0000,4798.7500,51509.7900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,1,1,0,2020-03-01T00:00:00.000,5348,0,5348,0,0,11551.6800,0.0000,20108.4800,0.0000,0.0000,3248.9100,34909.0700
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,2,2,0,2020-04-01T00:00:00.000,15996,0,15996,0,0,34551.3600,0.0000,60144.9600,0.0000,0.0000,9717.5700,104413.8900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,2,2,0,2020-05-01T00:00:00.000,13803,0,13803,0,0,29814.4800,0.0000,51899.2800,0.0000,0.0000,8385.3300,90099.0900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,2,2,0,2020-06-01T00:00:00.000,7905,0,7905,0,0,17074.8000,0.0000,29722.8000,0.0000,0.0000,4802.2900,51599.8900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,011-902,BASTROP,14,14,0,2020-03-01T00:00:00.000,8003,0,8003,0,0,17286.4800,0.0000,30091.2800,0.0000,0.0000,4861.8300,52239.5900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,011-902,BASTROP,16,16,0,2020-04-01T00:00:00.000,28470,0,28470,0,0,61495.2000,0.0000,107047.2000,0.0000,0.0000,17295.5300,185837.9300
