programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00169,QUEEN CITY ISD,Educational Institution,Public,8,2,034-907,CASS,3,3,2021-12-01T00:00:00.000,5325,0,6823,0,0,11928,0,26677.93,0,0,38605.93
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01086,ORE CITY ISD,Educational Institution,Public,7,2,230-903,UPSHUR,3,3,2022-05-01T00:00:00.000,6805,0,12739,0,0,16127.85,0,52612.07,0,0,68739.92
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00721,VYSEHRAD ISD,Educational Institution,Public,3,3,143-904,LAVACA,1,1,2021-10-01T00:00:00.000,643,0,1720,0,0,1440.32,0,6725.2,0,0,8165.52
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01163,WINK-LOVING ISD,Educational Institution,Public,18,1,248-902,WINKLER,2,2,2021-11-01T00:00:00.000,949,0,3153,0,0,2125.76,0,12328.23,0,0,14453.99
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01008,TULIA ISD,Educational Institution,Public,16,1,219-903,SWISHER,3,3,2021-10-01T00:00:00.000,9934,0,10973,0,0,22252.16,0,42904.43,0,0,65156.59
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00725,LEXINGTON ISD,Educational Institution,Public,13,4,144-902,LEE,3,3,2022-03-01T00:00:00.000,6291,0,10560,0,0,14909.67,0,43612.8,0,0,58522.47
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01078,APPLE SPRINGS ISD,Educational Institution,Public,6,3,228-905,TRINITY,2,2,2022-05-01T00:00:00.000,2753,0,2853,0,0,6524.61,0,11782.89,0,0,18307.5
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00837,SUNRAY ISD,Educational Institution,Public,16,1,171-902,MOORE,4,3,2021-12-01T00:00:00.000,3763,0,3504,0,0,8429.12,0,13700.64,0,0,22129.76
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00542,RULE ISD,Educational Institution,Public,14,1,104-903,HASKELL,1,1,2021-10-01T00:00:00.000,2026,0,1718,0,0,4538.24,0,6717.38,0,0,11255.62
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01033,TEXAS COLLEGE PREPARATORY ACADEMIES,Educational Institution,Charter,14,1,221-801,TAYLOR,41,41,2022-02-01T00:00:00.000,56372,0,87174,0,0,133601.64,0,360028.62,0,0,493630.26
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00384,LAMAR CONSOLIDATED ISD,Educational Institution,Public,4,3,079-901,FORT BEND,48,48,2022-02-01T00:00:00.000,190845,0,475724,0,0,452302.65,0,1964740.12,0,0,2417042.77
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00246,LUMIN EDUCATION,Educational Institution,Charter,10,2,057-805,DALLAS,1,1,2022-03-01T00:00:00.000,1715,0,0,0,0,4064.55,0,0,0,0,4064.55
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00281,IRVING ISD,Educational Institution,Public,10,2,057-912,DALLAS,36,36,2022-02-01T00:00:00.000,205596,0,339255,0,0,487262.52,0,1401123.15,0,0,1888385.67
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00127,SILVERTON ISD,Educational Institution,Public,16,1,023-902,BRISCOE,1,1,2022-04-01T00:00:00.000,1338,0,2339,0,0,3171.06,0,9660.07,0,0,12831.13
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00312,MEYERSVILLE ISD,Educational Institution,Public,3,3,062-906,DEWITT,1,1,2021-10-01T00:00:00.000,1565,0,2134,0,0,3505.6,0,8343.94,0,0,11849.54
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00243,TEXLINE ISD,Educational Institution,Public,16,1,056-902,DALLAM,1,1,2022-01-01T00:00:00.000,1384,0,1807,0,0,3280.08,0,7462.91,0,0,10742.99
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00202,PLANO ISD,Educational Institution,Public,10,2,043-910,COLLIN,75,74,2021-11-01T00:00:00.000,163965,0,491812,0,0,367281.6,0,1922984.92,0,0,2290266.52
