odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
00003_6_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00003,FRANKSTON ISD,Educational Institution,Public,7,2,001-904,ANDERSON,3,0,3,2025-06-01T00:00:00.000,1386,0,2096,0,0,3936.24,0.0,9515.84,0.0,0.0,13452.08
00005_5_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00005,PALESTINE ISD,Educational Institution,Public,7,2,001-907,ANDERSON,3,0,3,2025-05-01T00:00:00.000,1028,0,1174,0,0,2919.52,0.0,5329.96,0.0,0.0,8249.48
00005_6_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00005,PALESTINE ISD,Educational Institution,Public,7,2,001-907,ANDERSON,3,0,3,2025-06-01T00:00:00.000,1936,0,2564,0,0,5498.24,0.0,11640.56,0.0,0.0,17138.8
00006_6_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00006,WESTWOOD ISD,Educational Institution,Public,7,2,001-908,ANDERSON,1,0,1,2025-06-01T00:00:00.000,1800,0,2304,0,0,5112.0,0.0,10460.16,0.0,0.0,15572.16
00008_6_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00008,ANDREWS ISD,Educational Institution,Public,18,1,002-901,ANDREWS,2,0,2,2025-06-01T00:00:00.000,860,0,2413,0,0,2442.4,0.0,10955.02,0.0,0.0,13397.42
00013_6_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,4,0,4,2025-06-01T00:00:00.000,2563,0,4386,0,0,7278.92,0.0,19912.44,0.0,0.0,27191.36
00013_7_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,4,0,4,2025-07-01T00:00:00.000,1783,0,2994,0,0,5242.02,0.0,14101.74,0.0,0.0,19343.76
00013_8_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,1,0,1,2025-08-01T00:00:00.000,117,0,112,0,0,343.98,0.0,527.52,0.0,0.0,871.5
00016_6_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00016,Rockport-Fulton ISD,Educational Institution,Public,2,5,004-901,ARANSAS,2,0,2,2025-06-01T00:00:00.000,9424,0,8887,0,0,26764.16,0.0,40346.98,0.0,0.0,67111.14
00022_6_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00022,JOURDANTON ISD,Educational Institution,Public,20,4,007-902,ATASCOSA,1,0,1,2025-06-01T00:00:00.000,1116,0,1740,0,0,3169.44,0.0,7899.6,0.0,0.0,11069.04
00023_6_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00023,LYTLE ISD,Educational Institution,Public,20,4,007-904,ATASCOSA,2,0,2,2025-06-01T00:00:00.000,1704,0,3945,0,0,4839.36,0.0,17910.3,0.0,0.0,22749.66
00024_5_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,Public,20,4,007-905,ATASCOSA,6,0,6,2025-05-01T00:00:00.000,427,0,835,0,58,1212.68,0.0,3790.9,0.0,258.1,5261.68
00024_6_2025_SUMMERSSOCEREIMBURSEMENTS,2024-2025,SUMMERSSOCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,Public,20,4,007-905,ATASCOSA,13,0,13,2025-06-01T00:00:00.000,583,0,2956,0,1094,1655.72,0.0,13420.24,0.0,4868.3,19944.26
