odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
00011_5_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,4,0,4,2023-05-01T00:00:00.000,142,0,304,0,0,364.9400,0.0000,1361.9200,0.0000,0.0000,179.0900,1905.9500
00011_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,8,0,8,2023-06-01T00:00:00.000,6105,0,11486,0,0,15689.8500,0.0000,51457.2800,0.0000,0.0000,6955.2000,74102.3300
00011_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,5,0,5,2023-07-01T00:00:00.000,842,0,1342,0,0,2163.9400,0.0000,6012.1600,0.0000,0.0000,845.4500,9021.5500
00021_5_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,007-901,ATASCOSA,1,0,1,2023-05-01T00:00:00.000,125,0,128,0,0,321.2500,0.0000,573.4400,0.0000,0.0000,92.0400,986.7300
00021_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,007-901,ATASCOSA,1,0,1,2023-06-01T00:00:00.000,967,0,1074,0,0,2485.1900,0.0000,4811.5200,0.0000,0.0000,751.3700,8048.0800
00024_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,007-905,ATASCOSA,13,0,13,2023-06-01T00:00:00.000,7132,0,11987,0,1464,18329.2400,0.0000,53701.7600,0.0000,6558.7200,8140.6300,86730.3500
00029_5_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,1,0,1,2023-05-01T00:00:00.000,59,0,59,0,0,151.6300,0.0000,264.3200,0.0000,0.0000,42.7800,458.7300
00029_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,3,0,3,2023-06-01T00:00:00.000,2254,0,2430,0,0,5792.7800,0.0000,10886.4000,0.0000,0.0000,1716.8700,18396.0500
00033_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,011-902,BASTROP,4,0,4,2023-06-01T00:00:00.000,6355,0,8353,0,0,16332.3500,0.0000,37421.4400,0.0000,0.0000,5546.4400,59300.2300
00046_5_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00046,HOLLAND ISD,Educational Institution,School Food Authority,12,2,014-905,BELL,1,0,1,2023-05-01T00:00:00.000,142,0,227,0,0,364.9400,0.0000,1016.9600,0.0000,0.0000,142.9000,1524.8000
00046_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00046,HOLLAND ISD,Educational Institution,School Food Authority,12,2,014-905,BELL,1,0,1,2023-06-01T00:00:00.000,700,0,1006,0,0,1799.0000,0.0000,4506.8800,0.0000,0.0000,651.3200,6957.2000
00085_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00085,NORTH EAST ISD,Educational Institution,School Food Authority,20,4,015-910,BEXAR,25,0,25,2023-06-01T00:00:00.000,36831,0,63221,0,0,94655.6700,0.0000,283230.0800,0.0000,0.0000,39105.7800,416991.5300
00085_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00085,NORTH EAST ISD,Educational Institution,School Food Authority,20,4,015-910,BEXAR,11,0,11,2023-07-01T00:00:00.000,6116,0,7233,0,0,15718.1200,0.0000,32403.8400,0.0000,0.0000,4959.0900,53081.0500
00087_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00087,SOUTHWEST ISD,Educational Institution,School Food Authority,20,4,015-912,BEXAR,9,0,9,2023-06-01T00:00:00.000,13702,0,26863,0,0,35214.1400,0.0000,120346.2400,0.0000,0.0000,16119.6200,171680.0000
00087_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00087,SOUTHWEST ISD,Educational Institution,School Food Authority,20,4,015-912,BEXAR,3,0,3,2023-07-01T00:00:00.000,2224,0,4349,0,0,5715.6800,0.0000,19483.5200,0.0000,0.0000,2611.1500,27810.3500
00087_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,00087,SOUTHWEST ISD,Educational Institution,School Food Authority,20,4,015-912,BEXAR,2,0,2,2023-08-01T00:00:00.000,134,0,801,0,0,344.3800,0.0000,3588.4800,0.0000,0.0000,410.6400,4343.5000
